#           k/h    P           
   0.135593E+03   0.190491E-03
   0.138332E+03   0.180083E-03
   0.141127E+03   0.170234E-03
   0.143978E+03   0.160915E-03
   0.146886E+03   0.152097E-03
   0.149854E+03   0.143753E-03
   0.152881E+03   0.135858E-03
   0.155969E+03   0.128386E-03
   0.159120E+03   0.121316E-03
   0.162334E+03   0.114626E-03
   0.165614E+03   0.108295E-03
   0.168960E+03   0.102305E-03
   0.172373E+03   0.966369E-04
   0.175855E+03   0.912754E-04
   0.179407E+03   0.862048E-04
   0.183032E+03   0.814104E-04
   0.186729E+03   0.768781E-04
   0.190501E+03   0.725946E-04
   0.194350E+03   0.685468E-04
   0.198276E+03   0.647226E-04
   0.202281E+03   0.611103E-04
   0.206368E+03   0.576987E-04
